Campaign,Ad Group,Primary Keyword Theme,Landing Page,Why this page
Search - Core Local,Car Rental Hubli,car rental / rent a car in hubli,https://trishikacarrentalhubli.in/,Rental-first homepage (matches top converting term)
Search - Core Local,Taxi & Cab Hubli,taxi / cab service in hubli,https://trishikacarrentalhubli.in/,Homepage carries both taxi + rental heads
Search - Core Local,Travels Hubli,car travels in hubli,https://trishikacarrentalhubli.in/,Local 'travels' intent = same service
Search - Airport,Airport Taxi HBX,hubli airport taxi,https://trishikacarrentalhubli.in/services/airport-taxi-hubli/,Dedicated airport page (best CVR cluster)
Search - Outstation Routes,Route - Goa,hubli to goa taxi,https://trishikacarrentalhubli.in/routes/hubli-to-goa-taxi/,Route page with Goa fares + distance
Search - Outstation Routes,Route - Bangalore,hubli to bangalore cab,https://trishikacarrentalhubli.in/routes/hubli-to-bangalore-taxi/,Route page with NH-48 detail + one-way pricing
Search - Outstation Routes,Route - Dandeli,hubli to dandeli cab,https://trishikacarrentalhubli.in/routes/hubli-to-dandeli-taxi/,Route page with rafting/day-trip pricing
Search - Outstation Routes,Route - Gokarna,hubli to gokarna cab,https://trishikacarrentalhubli.in/routes/hubli-to-gokarna-taxi/,Route page with temple+beach day-trip fares
Search - Outstation Routes,Route - Belgaum,hubli to belgaum taxi,https://trishikacarrentalhubli.in/routes/hubli-to-belgaum-taxi/,Route page with business/medical/airport angle
Search - Vehicles,Tempo Traveller & Group,tempo traveller rent in hubli,https://trishikacarrentalhubli.in/vehicles/tempo-traveller-hubli/,Group-vehicle page with per-km + sample costing
